Bedrooms,Type,Price
2,apartment,230000
1,flat,230000
1,apartment,230000
1,flat,230000
1,apartment,230000
1,apartment,230000
1,apartment,225000
1,apartment,225000
1,flat,225000
1,apartment,225000
2,apartment,225000
2,ground floor flat,225000
1,flat,225000
1,flat,225000
2,terraced house,225000
1,flat,225000
1,flat,230000
2,end of terrace house,230000
1,apartment,229950
1,flat,227500
2,apartment,227000
1,apartment,225000
1,apartment,225000
1,flat,225000
1,apartment,225000
2,apartment,225000
2,ground floor flat,225000
1,flat,225000
1,flat,225000
2,terraced house,225000
1,flat,225000
1,apartment,225000
2,flat,225000
1,flat,225000
1,maisonette,225000
3,terraced house,225000
1,apartment,225000
2,flat,225000
2,apartment,222750
2,apartment,220000
1,studio flat,220000
1,flat,220000
2,ground floor maisonette,220000
1,apartment,220000
2,maisonette,220000
2,flat,220000
2,maisonette,215000
1,maisonette,215000
1,flat,215000
1,flat,215000
2,apartment,215000
1,flat,215000
1,flat,215000
1,ground floor flat,215000
2,park home,215000
1,apartment,215000
1,flat,215000
2,apartment,215000
1,flat,210000
2,apartment,210000
3,detached house,210000
1,flat,210000
1,maisonette,210000
2,flat,210000
2,flat,210000
2,flat,210000
1,apartment,210000
1,ground floor flat,210000
2,apartment,210000
2,ground floor flat,210000
2,ground floor flat,210000
2,flat,209950
1,apartment,205000
2,flat,205000
3,terraced house,205000
1,apartment,205000
1,flat,210000
1,maisonette,210000
2,flat,210000
2,flat,210000
2,flat,210000
1,apartment,210000
1,ground floor flat,210000
2,apartment,210000
2,ground floor flat,210000
2,ground floor flat,210000
2,maisonette,200000
1,studio flat,200000
2,flat,200000
1,flat,200000
1,apartment,200000
2,apartment,200000
1,flat,200000
2,retirement property,200000
1,apartment,200000
1,flat,200000
1,flat,200000
1,ground floor flat,200000
1,flat,200000
1,flat,200000
1,ground floor flat,200000
2,maisonette,200000
1,studio flat,200000
2,flat,200000
1,flat,200000
1,apartment,200000
1,apartment,190000
1,maisonette,190000
1,apartment,190000
1,flat,190000
2,semi-detached house,190000
1,apartment,190000
1,flat,190000
1,flat,190000
1,apartment,185000
1,ground floor flat,185000
1,flat,195000
1,maisonette,195000
2,end of terrace house,195000
1,flat,194000
2,flat,192500
1,apartment,190000
1,maisonette,190000
1,apartment,190000
1,flat,190000
2,semi-detached house,190000
1,apartment,190000
1,flat,190000
1,flat,190000
1,apartment,185000
1,ground floor flat,185000
1,flat,185000
1,flat,185000
2,maisonette,183750
2,flat,180000
1,flat,180000
1,flat,180000
1,apartment,180000
2,maisonette,180000
1,flat,180000
1,ground floor flat,180000
2,flat,180000
1,apartment,180000
2,apartment,180000
1,maisonette,179950
3,park home,175000
1,ground floor flat,175000
2,apartment,175000
1,flat,170000
1,flat,170000
1,flat,170000
1,apartment,170000
1,studio flat,170000
2,mobile home,170000
1,flat,170000
3,terraced house,170000
1,flat,170000
2,flat,170000
1,retirement property,170000
1,apartment,165000
1,flat,165000
1,flat,165000
1,flat,165000
1,apartment,165000
2,retirement property,163000
2,flat,160000
1,retirement property,145000
1,apartment,145000
1,flat,145000
1,ground floor maisonette,145000
2,apartment,144000
1,flat,137000
1,apartment,135000
2,apartment,135000
2,ground floor flat,134000
1,retirement property,130000
1,apartment,130000
1,apartment,130000
1,retirement property,130000
3,terraced house,130000
1,flat,125000
2,maisonette,125000
1,apartment,124000
1,flat,122000
1,retirement property,120000
2,flat,120000
1,retirement property,120000
2,park home,120000
1,retirement property,120000
1,retirement property,115000
2,terraced house,114000
2,retirement property,110000
1,apartment,108000
1,apartment,106000
1,apartment,105000
2,mobile home,100000
2,maisonette,125000
1,apartment,124000
1,flat,122000
1,retirement property,120000
2,flat,120000
1,retirement property,120000
2,park home,120000
1,retirement property,120000
1,retirement property,115000
2,terraced house,114000
